,tag,value
3,test_auc_score,0.7223131656646729
2,dataset_class,pill
3,test_auc_score,0.8651494383811951
2,dataset_class,leather
3,test_auc_score,0.8167166709899902
2,dataset_class,cable
3,test_auc_score,0.9976190328598022
2,dataset_class,bottle
3,test_auc_score,0.9188660979270935
2,dataset_class,metal_nut
3,test_auc_score,0.4627997577190399
2,dataset_class,screw
3,test_auc_score,0.8733333349227905
2,dataset_class,transistor
3,test_auc_score,0.8570175170898438
2,dataset_class,wood
3,test_auc_score,0.8472277522087097
2,dataset_class,capsule
3,test_auc_score,0.9257143139839172
2,dataset_class,hazelnut
3,test_auc_score,0.9072681665420532
2,dataset_class,grid
3,test_auc_score,0.3760032057762146
2,dataset_class,carpet
3,test_auc_score,0.8222222328186035
2,dataset_class,toothbrush
3,test_auc_score,0.7673160433769226
2,dataset_class,tile
